ENTREZ:81668
HAI ZAO	-1.4713696241378784
XIANG XUN	-2.204085111618042
MI HUA DOU	-2.2163991928100586
SANG SHI	-2.3606367111206055
YI MU CAO	-2.3750054836273193
HUANG JING	-2.38739013671875
SHE XIANG	-2.4228312969207764
ZANG QIE	-2.4368700981140137
FENG JIAO	-2.454087972640991
FU LING PI	-2.4787607192993164
DANG GUI	-2.5053367614746094
HAI SHEN CHANG	-2.5444376468658447
BEI YUE GOU TENG	-2.552823543548584
HUI HUI DOU	-2.5669281482696533
CHUAN SHAN CHENG	-2.574303388595581
LUO BU MA	-2.592392921447754
JI NEI JIN	-2.594275951385498
CI TIAN QIE	-2.595090389251709
LING YANG JIAO	-2.5953269004821777
SHAN DOU GEN	-2.6077263355255127
YI ZHI HAO	-2.6084330081939697
GE SHAN XIAO	-2.6144020557403564
FAN MU GUA YE	-2.6282639503479004
HUANG QI	-2.636381149291992
SHAN TONG ZI	-2.6580004692077637
HOU PI SHU	-2.660862445831299
YANG PI	-2.6618480682373047
MA DAO HA NI MU	-2.6701138019561768
ZI YUN YING	-2.671138048171997
MA QIAN ZI	-2.6734695434570312
HOU TOU JUN	-2.6745615005493164
HEI GUO HUANG PI	-2.6870782375335693
SONG XIANG	-2.6920623779296875
HANG FAN	-2.6953773498535156
NIU HUANG	-2.7169413566589355
BO CAI	-2.7195181846618652
SHAN ZHU YU	-2.7228894233703613
FENG RU	-2.727752685546875
TU SI  ZI	-2.746223211288452
XIA TIAN WU	-2.7511799335479736
SHU DI HUANG	-2.7528254985809326
XI QIN JIAO	-2.7563796043395996
YOU CHA GEN PI	-2.7595880031585693
LING MU	-2.7600390911102295
WU GONG	-2.7610583305358887
YU ER QI	-2.7612826824188232
DIAN QIE	-2.7681195735931396
NIU GAN	-2.770346164703369
ZI ZHU	-2.7723326683044434
BA LA GUI CHA	-2.7735323905944824
REN SHEN HUA LEI	-2.7747609615325928
XIAN DI HUANG	-2.777280330657959
YU MI XU	-2.783395290374756
JIN LIAN HUA	-2.788480758666992
QIANG WEI GEN	-2.789078712463379
RUAN TIAO QI QIANG WEI	-2.795217275619507
SHENG JIN WEN	-2.797074317932129
XIU XIAN JU YE	-2.7990517616271973
MAO SHU	-2.7999510765075684
JIN YAO DAI	-2.801680564880371
HUI LV YAN HU SUO	-2.802581787109375
MANG QI GU	-2.8056843280792236
SHUI FEI JI	-2.8058993816375732
HUANG JIE GU DAN	-2.811790943145752
NIU XUE	-2.8183529376983643
HEI DA DOU	-2.8196656703948975
CHANG GENG DONG QING	-2.8205525875091553
LU CAO	-2.8208460807800293
MING FAN	-2.8223447799682617
XU CHANG QING	-2.8223795890808105
HUI ZHU NIU NAI CAI	-2.8226380348205566
BAI FAN	-2.8317530155181885
WAN DOU	-2.8384103775024414
GE SHANG TING CHANG	-2.839904308319092
XIAO PO PO NA	-2.839968204498291
NUO DAO	-2.8406200408935547
ZI QI	-2.8428821563720703
DUN YE JUE MING	-2.8518011569976807
DA HUANG	-2.8519341945648193
ZE LAN GEN	-2.8553097248077393
LONG KUI	-2.8565573692321777
DUAN BAI FAN	-2.8595967292785645
JIANG HUANG	-2.8602800369262695
ZI SHAN	-2.8603715896606445
MING DANG SHEN	-2.861609697341919
DUO XU YAN HUANG QI	-2.8645260334014893
XI XIAN	-2.8652966022491455
SHI SUAN	-2.868655204772949
ZHI DA HUANG	-2.8719396591186523
JIANG ZHEN XIANG	-2.8733882904052734
YUN LING	-2.8774800300598145
BAI YE GUA FU MU	-2.8799750804901123
BAI CHANG	-2.881516218185425
XIAO XUE REN SHEN	-2.8820571899414062
YU DAI GEN	-2.8833158016204834
MAO DI HUANG	-2.887941360473633
XIN JIANG GAO BEN	-2.8905270099639893
YANG CONG	-2.8940672874450684
XIAO GAN	-2.8951897621154785
XIAN SUAN QIANG	-2.896934986114502

ENTREZ:3486
XIANG XUN	-2.311086416244507
RUAN TIAO QI QIANG WEI	-2.4889020919799805
DANG GUI	-2.528887987136841
FENG RU	-2.543534278869629
LING ZHI	-2.5735368728637695
FENG JIAO	-2.640702486038208
SONG XIANG	-2.677197217941284
TUN XING GUO	-2.6779093742370605
XIAO XUE REN SHEN	-2.6910436153411865
SHAN DOU GEN	-2.7194273471832275
BU GU ZHI	-2.7617454528808594
HOU TOU JUN	-2.7622716426849365
SHUI FEI JI	-2.7815182209014893
MA QIAN ZI	-2.797389507293701
ER CHA	-2.802722454071045
JIANG HUANG	-2.807091236114502
LUO TUO HAO	-2.8078224658966064
HAI ZAO	-2.815056800842285
PING E SHU	-2.8258485794067383
KUN BU	-2.8293344974517822
CLADOSIPHON DECIPIENS ] (SPERMATOCHNACEAE)	-2.865036725997925
SHAN ZHU YU	-2.878187417984009
BA JI	-2.879857063293457
HU TAO REN	-2.9060370922088623
WANG GUA	-2.9161713123321533
HONG NIANG ZI	-2.9205403327941895
JI NEI JIN	-2.9226174354553223
YI MU CAO	-2.932640314102173
GAN DI HUANG	-2.9391791820526123
QIANG WEI GEN	-2.940504312515259
SANG SHI	-2.9488580226898193
XIA KU CAO	-2.956141471862793
ZHANG YU	-2.9645884037017822
ZHONG GUO CU FEI ZHI YE	-2.972419261932373
LONG KUI	-2.981233835220337
HEI MA YI	-2.982123613357544
LI DOU	-2.989401340484619
JIAN HAI LONG	-3.0015523433685303
SHU DI HUANG	-3.003678560256958
SHENG ZAO.	-3.0202839374542236
LUO BU MA	-3.025546073913574
LEI GONG TENG	-3.0335254669189453
TIAO HU TAI.	-3.0366411209106445
MAO YE XIANG CHA CAI	-3.038515329360962
