Imipramine	small molecule	KCNH2
Imipramine	small molecule	SLC6A3
Imipramine	small molecule	Slc6a3
Fluoxetine	small molecule	SLC6A4
Fluoxetine	small molecule	KCNH2
Duloxetine	small molecule	SLC6A4
Duloxetine	small molecule	SLC6A2
Duloxetine	small molecule	SLC6A3
Duloxetine	small molecule	Slc6a3
Chlorpromazine	small molecule	KCNH2
Sotalol	small molecule	KCNH2
Cefotaxime	small molecule	SLC22A6
Cefotaxime	small molecule	SLC22A8
Cefotaxime	small molecule	SLC22A11
Cefotaxime	small molecule	SLC22A7
Cefotaxime	small molecule	SLC15A1
Cefotaxime	small molecule	ALB
Cefotaxime	small molecule	SLC15A2
Haloperidol	small molecule	SLC18A2
Haloperidol	small molecule	Slc18a2
Acetyldigitoxin	small molecule	ATP1A1
Dextromethorphan	small molecule	SLC6A4
Dextromethorphan	small molecule	SLC6A2
Chlormerodrin	small molecule	SLC12A1
Ciprofloxacin	small molecule	KCNH2
Nortriptyline	small molecule	SLC6A2
Nortriptyline	small molecule	SLC6A4
Amoxapine	small molecule	SLC6A2
Amoxapine	small molecule	SLC6A4
Amoxapine	small molecule	SLC6A3
Amoxapine	small molecule	Slc6a3
Hydroxyzine	small molecule	KCNH2
Cinnarizine	small molecule	CACNA1C
Cinnarizine	small molecule	CACNA1D
Cinnarizine	small molecule	CACNA1F
Cinnarizine	small molecule	CACNA1S
Cinnarizine	small molecule	CACNA1G
Cinnarizine	small molecule	CACNA1H
Cinnarizine	small molecule	CACNA1I
Cinnarizine	small molecule	CACNA1I
Fenfluramine	small molecule	SLC6A4
Mazindol	small molecule	SLC6A2
Mazindol	small molecule	SLC6A3
Mazindol	small molecule	Slc6a3
Mazindol	small molecule	SLC6A4
Mazindol	small molecule	SLC18A2
Mazindol	small molecule	Slc18a2
Levocarnitine	small molecule	SLC22A4
Levocarnitine	small molecule	SLC22A5
Ethosuximide	small molecule	CACNA1G
Amiloride	small molecule	SCNN1A
Amiloride	small molecule	SCNN1B
Amiloride	small molecule	SCNN1G
Amiloride	small molecule	ASIC1
Amiloride	small molecule	SLC9A1
Cisapride	small molecule	KCNH2
Cyclothiazide	small molecule	FXYD2
Paramethadione	small molecule	CACNA1I
Paramethadione	small molecule	CACNA1I
Nicardipine	small molecule	CACNA1C
Nicardipine	small molecule	CACNB2
Nicardipine	small molecule	CACNA1D
Astemizole	small molecule	KCNH2
Trazodone	small molecule	SLC6A4
Verapamil	small molecule	CACNA1C
Verapamil	small molecule	CACNA1A
Verapamil	small molecule	CACNA1A
Verapamil	small molecule	CACNA1G
Verapamil	small molecule	CACNA1H
Verapamil	small molecule	KCNH2
Verapamil	small molecule	SLC6A4
Tamoxifen	small molecule	KCNH2
Thioridazine	small molecule	KCNH2
Furosemide	small molecule	SLC12A1
Oxacillin	small molecule	SLC15A1
Oxacillin	small molecule	SLC15A2
Paroxetine	small molecule	SLC6A4
Paroxetine	small molecule	SLC6A2
Procaine	small molecule	SLC6A3
Procaine	small molecule	Slc6a3
Trimipramine	small molecule	SLC6A4
Trimipramine	small molecule	SLC6A2
Trimipramine	small molecule	SLC6A3
Trimipramine	small molecule	Slc6a3
Esomeprazole	small molecule	ATP4A
Riluzole	small molecule	SLC7A11
Modafinil	small molecule	SLC6A3
Modafinil	small molecule	Slc6a3
Tranylcypromine	small molecule	MAOB
Potassium chloride	small molecule	SLC12A2
Potassium chloride	small molecule	SLC12A1
Potassium chloride	small molecule	SLC12A5
Potassium chloride	small molecule	Slc12a5
Potassium chloride	small molecule	SLC12A6
Potassium chloride	small molecule	SLC12A7
Potassium chloride	small molecule	SLC12A4
Hydroflumethiazide	small molecule	SLC12A1
Hydroflumethiazide	small molecule	ATP1A1
Tirofiban	small molecule	ITGB3
Phenelzine	small molecule	MAOB
Sulfasalazine	small molecule	SLC7A11
Minaprine	small molecule	SLC6A4
Propofol	small molecule	SCN4A
Phenmetrazine	small molecule	SLC6A2
Phenmetrazine	small molecule	SLC6A3
Phenmetrazine	small molecule	Slc6a3
Loperamide	small molecule	CACNA1A
Loperamide	small molecule	CACNA1A
Pseudoephedrine	small molecule	SLC6A2
Pseudoephedrine	small molecule	SLC6A3
Pseudoephedrine	small molecule	Slc6a3
Pseudoephedrine	small molecule	SLC6A4
Benzphetamine	small molecule	SLC18A2
Benzphetamine	small molecule	Slc18a2
Benzphetamine	small molecule	SLC6A3
Benzphetamine	small molecule	Slc6a3
Bumetanide	small molecule	SLC12A1
Bumetanide	small molecule	SLC12A2
Bumetanide	small molecule	SLC12A4
Bumetanide	small molecule	SLC12A5
Bumetanide	small molecule	Slc12a5
Ethanol	small molecule	CACNB1
Ethanol	small molecule	CACNA1C
Ethanol	small molecule	SLC29A1
Ethanol	small molecule	CACNA1S
Ethanol	small molecule	CACNA1D
Ethanol	small molecule	SLC29A2
Etacrynic acid	small molecule	ATP1A1
Etacrynic acid	small molecule	SLC12A1
Cocaine	small molecule	SLC6A3
Cocaine	small molecule	Slc6a3
Cocaine	small molecule	SLC6A2
Cocaine	small molecule	SLC6A4
Quinidine	small molecule	KCNH2
Zonisamide	small molecule	SCN4A
Zonisamide	small molecule	CACNA1G
Zonisamide	small molecule	CACNA1H
Zonisamide	small molecule	CACNA1I
Zonisamide	small molecule	CACNA1I
Zonisamide	small molecule	MAOB
Phenformin	small molecule	PRKAA1
Cyclobenzaprine	small molecule	SLC6A4
Cyclobenzaprine	small molecule	SLC6A2
Maprotiline	small molecule	SLC6A2
Diethylpropion	small molecule	SLC6A2
Diethylpropion	small molecule	SLC6A3
Diethylpropion	small molecule	Slc6a3
Meclofenamic acid	small molecule	KCNQ2
Meclofenamic acid	small molecule	KCNQ3
Ezetimibe	small molecule	NPC1L1
Dopamine	small molecule	SLC6A3
Dopamine	small molecule	Slc6a3
Dopamine	small molecule	SLC6A2
Dopamine	small molecule	SLC6A4
Dopamine	small molecule	SLC18A2
Dopamine	small molecule	Slc18a2
Gabapentin	small molecule	KCNQ3
Glyburide	small molecule	ABCB11
Glyburide	small molecule	ABCA1
Trichlormethiazide	small molecule	ATP1A1
Felodipine	small molecule	CACNA1C
Felodipine	small molecule	CACNB2
Felodipine	small molecule	CACNA1D
Felodipine	small molecule	CACNA1S
Felodipine	small molecule	CACNA1H
Ketoconazole	small molecule	KCNH2
Probenecid	small molecule	SLC22A6
Probenecid	small molecule	SLC22A11
Probenecid	small molecule	SLC22A8
Procainamide	small molecule	KCNH2
Selegiline	small molecule	MAOB
Benzylpenicillin	small molecule	SLC22A8
Benzylpenicillin	small molecule	SLC15A1
Benzylpenicillin	small molecule	SLC15A2
Nitrendipine	small molecule	CACNA1C
Nitrendipine	small molecule	CACNB2
Nitrendipine	small molecule	CACNA1D
Nitrendipine	small molecule	CACNA1S
Nitrendipine	small molecule	CACNA1H
Perhexiline	small molecule	KCNH2
Deslanoside	small molecule	ATP1A1
Deserpidine	small molecule	SLC18A2
Deserpidine	small molecule	Slc18a2
Ouabain	small molecule	ATP1A1
Ouabain	small molecule	ATP1A2
Ouabain	small molecule	ATP1A3
Pimozide	small molecule	KCNH2
Sertraline	small molecule	SLC6A4
Sertraline	small molecule	SLC6A3
Sertraline	small molecule	Slc6a3
Sertraline	small molecule	SLC6A2
Sertraline	small molecule	SLC29A4
Sibutramine	small molecule	SLC6A2
Sibutramine	small molecule	SLC6A4
Sibutramine	small molecule	SLC6A3
