"","SYMBOL","ENTREZID"
"1284","TPMT","7172"
"1285","IFNG","3458"
"1286","SRC","6714"
"1287","EPHA2","1969"
"1288","LCK","3932"
"1289","YES1","7525"
"1290","STAT5B","6777"
"1291","FYN","2534"
"1292","BTK","695"
"1293","NR4A3","8013"
"1294","CSK","1445"
"1295","EPHA5","2044"
"1296","EPHB4","2050"
"1297","FGR","2268"
"1298","FRK","2444"
"1299","HSPA8","3312"
"1300","LYN","4067"
"1302","MAPK14","1432"
"1304","DNMT3B","1789"
"1305","PLIN3","10226"
"1306","M6PR","4074"
"1307","IGF2R","3482"
"1308","RAMP1","10267"
"1309","RAMP2","10266"
"1310","RAMP3","10268"
"1311","CD80","941"
"1312","MC2R","4158"
"1313","CRH","1392"
"1314","RELA","5970"
"1316","PON1","5444"
"1317","IL15","3600"
"1319","AGTR2","186"
"1320","GSK3B","2932"
"1321","IMPA1","3612"
"1322","IMPA2","3613"
"1324","KLK1","3816"
"1325","CAST","831"
"1326","COMP","1311"
"1327","S100A8","6279"
"1328","S100A9","6280"
"1329","CP","1356"
"1330","BMP4","652"
"1331","MGP","4256"
"1332","PCDH19","57526"
"1333","PDCD6","10016"
"1334","VDAC1","7416"
"1335","VDAC2","7417"
"1336","VDAC3","7419"
"1337","IL6","3569"
"1338","NGF","4803"
"1339","IL5","3567"
"1340","RNASE3","6037"
"1341","MUC2","4583"
"1342","TRIM13","10206"
"1345","GABRR2","2570"
"1346","GABRR3","200959"
"1347","TFRC","7037"
"1348","HDAC8","55869"
"1349","AHSP","51327"
"1350","FEN1","2237"
"1351","NEIL1","79661"
"1352","NEIL2","252969"
"1353","ALDOA","226"
"1354","EEF1A1","1915"
"1355","ENO1","2023"
"1356","NME1","4830"
"1357","P4HB","5034"
"1358","PDIA3","2923"
"1359","PRDX1","5052"
"1360","PSPH","5723"
"1363","TPI1","7167"
"1364","MT2A","4502"
"1365","CCS","9973"
"1366","HDAC4","9759"
"1367","SEMG1","6406"
"1368","SIVA1","10572"
"1369","MDM2","4193"
"1370","INS","3630"
"1371","UTRN","7402"
"1372","TP73","7161"
"1373","MT3","4504"
"1374","DAND5","199699"
"1375","A1BG","1"
"1376","AGT","183"
"1377","AHSG","197"
"1378","APCS","325"
"1379","APOA1","335"
"1380","APOA2","336"
"1381","APOA4","337"
"1382","APOBR","55911"
"1383","APOE","348"
"1384","APOL1","8542"
"1385","C1S","716"
"1386","C4BPA","722"
"1387","C4BPB","725"
"1388","BRCC3","79184"
"1389","C8A","731"
"1390","C8B","732"
"1391","C8G","733"
"1392","CFB","629"
"1393","CFH","3075"
"1394","CFI","3426"
"1395","CLU","1191"
"1396","CPN1","1369"
"1397","CPN2","1370"
"1398","DCD","117159"
"1399","DSP","1832"
"1400","F12","2161"
"1401","F13B","2165"
"1402","FCN3","8547"
"1403","FN1","2335"
"1404","GSN","2934"
"1405","HPR","3250"
"1406","HRNR","388697"
"1407","IGFALS","3483"
"1408","IGHA1","3493"
"1409","IGHM","3507"
"1410","IGKV1-17","28937"
"1411","IGLV3-21","28796"
"1412","ITIH1","3697"
"1413","ITIH2","3698"
"1414","ITIH3","3699"
"1415","ITIH4","3700"
"1416","JCHAIN","3512"
"1417","JUP","3728"
"1418","KLKB1","3818"
"1419","KNG1","3827"
"1420","PGLYRP2","114770"
"1421","PZP","5858"
"1423","SERPINA1","5265"
"1424","SERPINA3","12"
"1425","SERPINA4","5267"
"1426","SERPINA6","866"
"1427","TTR","7276"
"1428","APLP1","333"
"1429","APLP2","334"
"1430","DPEP1","1800"
"1433","NPR2","4882"
"1435","LCN2","3934"
"1436","IGHG1","3500"
"1439","UCKL1","54963"
"1444","DTYMK","1841"
"1447","NCOA1","8648"
"1448","CYP1B1","1545"
"1449","DCPS","28960"
"1450","EIF4E","1977"
"1455","CTRB1","1504"
"1456","PRSS1","5644"
"1458","FST","10468"
"1466","FAH","2184"
"1467","PGAM2","5224"
"1469","PREP","5550"
"1472","B3GAT1","27087"
"1473","TREM1","54210"
"1474","DDX6","1656"
"1476","HIF1AN","55662"
"1478","ATP6V1C1","528"
"1480","CBR1","873"
"1485","ENO3","2027"
"1486","MB","4151"
"1489","AK8","158067"
"1490","AK1","203"
"1497","IDH1","3417"
"1498","WAS","7454"
"1499","PTPN1","5770"
"1502","SKP1","6500"
"1506","PCMT1","5110"
"1507","PNMT","5409"
"1510","PRMT3","10196"
"1517","PRMT1","3276"
"1520","SETD7","80854"
"1526","COMTD1","118881"
"1528","PIM1","5292"
"1529","RPIA","22934"
"1532","LCN9","392399"
"1533","PIN1","5300"
"1537","AANAT","15"
"1539","YWHAE","7531"
"1540","MAPK10","5602"
"1541","MAPK8IP1","9479"
"1542","TTK","7272"
"1544","IDI1","3422"
"1549","PRKAR1A","5573"
"1553","ARSA","410"
"1555","PRSS2","5645"
"1558","HCK","3055"
"1559","CTSF","8722"
"1560","LTF","4057"
"1561","HS3ST1","9957"
"1562","SULT2B1","6820"
"1563","RNASE2","6036"
"1564","SULT1A1","6817"
"1565","HS3ST3A1","9955"
"1566","SULT2A1","6822"
"1567","NDST1","3340"
"1569","SULT1B1","27284"
"1575","MBL2","4153"
"1581","LGALS3","3958"
"1585","ISYNA1","51477"
"1590","CELA1","1990"
"1592","IGKC","3514"
"1593","UGT3A1","133688"
"1595","ART1","417"
"1598","CTSK","1513"
"1599","PAPOLA","10914"
"1600","GYG1","2992"
"1602","GALE","2582"
"1605","GLT6D1","360203"
"1607","GLB1","2720"
"1610","PLEKHA4","57664"
"1611","DAPP1","27071"
"1612","ITPKA","3706"
"1613","CYTH2","9266"
"1614","CYTH3","9265"
"1615","ARF6","382"
"1616","TGM3","7053"
"1618","RAB11A","8766"
"1619","AMY2B","280"
"1622","TUBA3C","7278"
"1623","TUBB4A","10382"
"1624","TUBB3","10381"
"1625","TUBA1C","84790"
"1626","TUBA8","51807"
"1627","TUBA1B","10376"
"1630","MIF","4282"
"1632","CDK2","1017"
"1633","IGF1","3479"
"1635","NSF","4905"
"1636","ERO1B","56605"
"1642","PMP2","5375"
"1646","PRKACA","5566"
"1657","CTBP1","1487"
"1660","CASK","8573"
"1661","GUK1","2987"
"1664","GGACT","87769"
"1665","PVALB","5816"
"1666","ACYP2","98"
"1673","GPHN","10243"
"1677","MOCS2","4338"
"1681","MYH14","79784"
"1682","DMPK","1760"
"1695","GMPR","2766"
"1711","TLL2","7093"
"1712","RORA","6095"
"1715","DBI","1622"
"1720","KAT5","10524"
"1724","KAT2A","2648"
"1725","KAT2B","8850"
"1732","HK1","3098"
"1737","GPI","2821"
"1738","ITK","3702"
"1739","SYK","6850"
"1740","MAPKAPK2","9261"
"1741","PRKCQ","5588"
"1742","ZAP70","7535"
"1744","TPSB2","64499"
"1748","TUB","7275"
"1749","EPHX2","2053"
"1753","MAN2A1","4124"
"1754","PPT1","5538"
"1759","ADAM28","10863"
"1760","CDK1","983"
"1761","CDK5R1","8851"
"1763","EEF2","1938"
"1773","PFN2","5217"
"1774","TKT","7086"
"1776","RAB8B","51762"
"1777","CCNA2","890"
"1779","UCK2","7371"
"1780","SPINK6","404203"
"1781","CTSB","1508"
"1796","CTSH","1512"
"1799","PITPNA","5306"
"1801","MET","4233"
"1802","MAP2K1","5604"
"1807","PRDX2","7001"
"1809","HAO1","54363"
"1810","PPP1CC","5501"
"1814","SNRPA","6626"
"1815","NMT1","4836"
"1816","NMT2","9397"
"1819","LCTL","197021"
"1820","DNTT","1791"
"1821","EXTL2","2135"
"1822","UAP1","6675"
"1824","ABO","28"
"1826","SDF2","6388"
"1828","HRAS","3265"
"1831","CTSD","1509"
"1837","TPR","7175"
"1840","ACAN","176"
"1842","GM2A","2760"
"1843","PTAFR","5724"
"1856","STS","412"
"1857","KCNA4","3739"
"1859","DPYD","1806"
"1860","PCTP","58488"
"1861","PRSS3","5646"
"1863","HCN2","610"
"1865","CCL5","6352"
"1872","G6PD","2539"
"1876","F13A1","2162"
"1877","CYP1A1","1543"
"1878","CAMP","820"
"1884","CTSG","1511"
"1889","FHIT","2272"
"1890","JAK1","3716"
"1891","LCT","3938"
"1892","GCH1","2643"
"1894","BACE1","23621"
"1895","GCK","2645"
"1902","GNPDA1","10007"
"1904","SMARCA5","8467"
"1906","AMY1A","276"
"1909","NCAN","1463"
"1915","KRTAP5-2","440021"
"1916","SIGLEC1","6614"
"1920","LGALS2","3957"
"1924","LGALS7","3963"
"1925","KRTAP5-3","387266"
"1929","SFTPD","6441"
"1930","IFNB1","3456"
"1933","AKR1A1","10327"
"1935","LAP3","51056"
"1937","PAEP","5047"
"1941","UBE2D2","7322"
"1942","HSP90AB1","3326"
"1963","CLPS","1208"
"1964","MIP","4284"
"1973","RAB5A","5868"
"1976","PRKACB","5567"
"1977","CDK7","1022"
"1979","S100A11","6282"
"1980","MAPK12","6300"
"1981","AURKA","6790"
"1983","CMAS","55907"
"1984","RPL10L","140801"
"1985","RPL13A","23521"
"1986","RPL23","9349"
"1987","RPL15","6138"
"1988","RPL19","6143"
"1989","RPL23A","6147"
"1990","RSL24D1","51187"
"1991","RPL26L1","51121"
"1992","RPL8","6132"
"1993","RPL37","6167"
"1994","RPL3","6122"
"1995","RPL11","6135"
"1996","SNU13","4809"
"1997","CPA1","1357"
"2000","PPP1CA","5499"
"2001","PPP2R1A","5518"
"2002","PPP2R5C","5527"
"2003","PPP2R2A","5520"
"2004","ALDOB","229"
"2007","PRKAR2B","5577"
"2009","UBB","7314"
"2010","HDAC3","8841"
"2011","HDAC6","10013"
"2015","KEL","3792"
"2019","CAPNS1","826"
"2021","ADCY2","108"
"2022","GNAS","2778"
"2023","ADCY5","111"
"2033","PNLIPRP2","5408"
"2034","CDC42","998"
"2035","XIAP","331"
"2036","SPR","6697"
"2039","FABP6","2172"
"2041","COX6C","1345"
"2042","COX6B1","1340"
"2043","GPBAR1","151306"
"2044","PAPSS1","9061"
"2049","ALOX15","246"
"2050","PI4K2B","55300"
"2051","ITGA5","3678"
"2052","SNCA","6622"
"2053","SIRT1","23411"
"2054","CLEC14A","161198"
"2055","KHSRP","8570"
"2058","ENO2","2026"
"2060","CDK4","1019"
"2062","B2M","567"
"2063","TRAC","28755"
"2064","TRBC1","28639"
"2065","LSM6","11157"
"2074","TST","7263"
"2076","IL12B","3593"
"2081","RTCB","51493"
"2084","ARF1","375"
"2086","PTPN11","5781"
"2094","DCXR","51181"
"2096","PGM1","5236"
"2098","DAO","1610"
"2101","HSD17B11","51170"
"2102","IGHG2","3501"
"2103","CTSV","1515"
"2104","ZFY","7544"
"2105","UMPS","7372"
"2114","SYN1","6853"
"2115","PMS2","5395"
"2122","EEA1","8411"
"2131","CLC","1178"
"2134","CYP2B6","1555"
"2137","OAS1","4938"
"2138","GNAT1","2779"
"2141","HNF4A","3172"
"2142","VLDLR","7436"
"2143","GLTP","51228"
"2144","PLA2G2D","26279"
"2149","B3GAT3","26229"
"2152","CFD","1675"
"2154","CDA","978"
"2156","CSNK1G2","1455"
"2157","IGLC1","3537"
"2158","TFF2","7032"
"2159","HCRT","3060"
"2160","CCL8","6355"
"2165","CDIPT","10423"
"2168","CHIT1","1118"
"2170","KLK6","5653"
"2177","POR","5447"
"2180","IL4I1","259307"
"2191","CYB5R1","51706"
"2192","ACOX1","51"
"2194","GFER","2671"
"2215","PVR","5817"
"2220","ACCS","84680"
"2221","AHCY","191"
"2231","RPS6KA4","8986"
"2233","HAO2","51179"
"2237","PPCDC","60490"
"2247","SGK1","6446"
"2252","CMA1","1215"
"2255","EN2","2020"
"2257","TNFSF13B","10673"
"2258","EPN1","29924"
"2259","TGFB3","7043"
"2264","CYP2C9","1559"
"2270","LGALS1","3956"
"2272","SCMH1","22955"
"2278","MYO1E","4643"
"2279","DMC1","11144"
"2288","PKIA","5569"
"2290","BPHL","670"
"2293","CASP7","840"
"2295","RDX","5962"
"2299","UNG","7374"
"2303","GNLY","10578"
"2305","RNASE4","6038"
"2307","CAD","790"
"2311","DHRS11","79154"
"2316","PTGR1","22949"
"2319","TYMP","1890"
"2322","KANSL3","55683"
"2323","CANT1","124583"
"2324","CDK9","1025"
"2325","CDK6","1021"
"2326","CDK8","1024"
"2327","TNFRSF1A","7132"
"2332","FURIN","5045"
"2336","PPBP","5473"
"2337","DHPS","1725"
"2340","CTSL","1514"
"2342","GLIPR2","152007"
"2344","CDC25B","994"
"2346","ISG20","3669"
"2351","AZGP1","563"
"2352","REG1A","5967"
"2355","UROD","7389"
"2356","SIGLEC7","27036"
"2358","SREBF1","6720"
"2362","CTSS","1520"
"2365","PRKCI","5584"
"2366","NR1H2","7376"
"2370","HNF4G","3174"
"2371","TRAPPC3","27095"
"2372","LALBA","3906"
"2383","ARL3","403"
"2384","L3MBTL1","26013"
"2386","PRDX6","9588"
"2388","SFTPA1","653509"
"2389","IRGC","56269"
"2392","KCNMB2","10242"
"2393","ADAMTS5","11096"
"2398","CTNNB1","1499"
"2400","PGK1","5230"
"2401","KIF1A","547"
"2403","TGFBR1","7046"
"2404","SERPINB3","6317"
"2409","CRP","1401"
"2410","ELSPBP1","64100"
"2413","COPG1","22820"
"2414","XRCC4","7518"
"2418","ADCYAP1","116"
"2423","KIF11","3832"
"2426","CYB5A","1528"
"2433","DAPK1","1612"
"2445","CAMK2A","815"
"2446","UBA1","7317"
"2448","GSTT2","2953"
"2451","RND3","390"
"2452","RHEB","6009"
"2454","RAP2A","5911"
"2455","UQCRQ","27089"
"2456","UQCRB","7381"
"2457","UQCR10","29796"
"2464","DSTN","11034"
"2465","NFE2L1","4779"
"2469","CFL1","1072"
"2477","CTDSP1","58190"
"2479","BPI","671"
"2481","DHRS4L2","317749"
"2482","CNGA1","1259"
"2483","DUSP23","54935"
"2485","STK17B","9262"
"2486","EIF3F","8665"
"2487","HSPA2","3306"
"2488","RUVBL2","10856"
"2489","SF3B3","23450"
"2490","CEBPB","1051"
"2503","HGS","9146"
"2506","CPB1","1360"
"2510","PLEKHA1","59338"
"2516","ITPA","3704"
"2519","CAPN1","823"
"2524","HDAC7","51564"
"2529","EIF2S3","1968"
"2530","GNAI1","2770"
"2531","RAB9A","9367"
"2532","ARL1","400"
"2533","RAN","5901"
"2534","RAB7A","7879"
"2535","GSPT1","2935"
"2536","RHOA","387"
"2537","ARF4","378"
"2538","TGM2","7052"
"2539","RALA","5898"
"2540","ARL5B","221079"
"2542","NME2","4831"
"2544","SAR1B","51128"
"2545","ARL5A","26225"
"2547","METAP1","23173"
"2549","PLCXD3","345557"
"2552","CEL","1056"
"2553","CLK1","1195"
"2554","PRKCD","5580"
"2558","EPHB2","2048"
"2560","VCP","7415"
"2561","TRPM7","54822"
"2562","CCT3","7203"
"2565","GALK1","2584"
"2566","RAD51","5888"
"2569","KIF2C","11004"
"2571","PCBD1","5092"
"2575","PTH","5741"
"2576","HNF1A","6927"
"2579","MYH11","4629"
"2585","MSRA","4482"
"2587","AXIN1","8312"
"2590","RABGGTA","5875"
"2591","RABGGTB","5876"
"2595","S100G","795"
"2599","UBC","7316"
"2604","LGALS9","3965"
"2605","CXCL10","3627"
"2606","CPD","1362"
"2610","TAOK2","9344"
"2611","KCNC4","3749"
"2612","SMAD2","4087"
"2613","MASP2","10747"
"2614","SERPINB5","5268"
"2615","SNX3","8724"
"2617","CLEC4E","26253"
"2619","CLCNKA","1187"
"2620","UGT1A9","54600"
"2624","QPCT","25797"
"2627","WEE1","7465"
"2633","SAT1","6303"
"2640","CD1D","912"
"2641","CYP2A6","1548"
"2643","IGHA2","3494"
"2644","NR5A1","2516"
"2646","MVK","4598"
"2649","AURKB","9212"
"2650","ROCK1","6093"
"2651","JAK2","3717"
"2652","DAPK3","1613"
"2653","JAK3","3718"
"2654","TYK2","7297"
"2658","PGLYRP3","114771"
"2659","CSNK1G3","1456"
"2660","RPS6KA1","6195"
"2661","P2RY2","5029"
"2662","UQCR11","10975"
"2663","CCR5","1234"
"2664","ABCB5","340273"
"2665","ABCG2","9429"
"2667","CALCA","796"
"2668","CALCRL","10203"
"2669","TACR3","6870"
"2670","MED1","5469"
"2671","FNTB","2342"
"2672","FNTA","2339"
"2673","SSTR2","6752"
"2674","SSTR5","6755"
"2675","NPR3","4883"
"2676","ENOX2","10495"
"2677","FGB","2244"
"2678","ALOX5AP","241"
"2679","MC1R","4157"
"2680","ANO1","55107"
"2681","KCNQ4","9132"
"2682","KCNE1","3753"
"2683","CD22","933"
"2684","UBR4","23352"
"2685","MUC16","94025"
"2686","APEX1","328"
"2687","RPSA","3921"
"2688","ADAM10","102"
"2689","IKBKG","8517"
"2690","NPY1R","4886"
"2691","NPY5R","4889"
"2692","NPY4R","5540"
"2693","FGFR3","2261"
"2694","GLA","2717"
"2695","ADAM9","8754"
"2696","SMG6","23293"
"2697","SCYL1","57410"
"2698","BDKRB2","624"
"2699","BDNF","627"
"2701","IL4R","3566"
"2702","IL13RA2","3598"
"2703","PTH1R","5745"
"2704","GRM2","2912"
"2705","GRM3","2913"
"2706","CEACAM5","1048"
"2707","LEPR","3953"
"2708","PLA2G7","7941"
"2709","ITGB4","3691"
"2710","ITGB7","3695"
"2711","CCR2","729230"
"2712","PDGFD","80310"
"2713","TUBA3E","112714"
"2714","TUBA4B","80086"
"2715","TUBB2A","7280"
"2716","TUBB2B","347733"
"2717","TUBB6","84617"
"2718","CHEK2","11200"
"2719","CHEK1","1111"
"2722","MAPK11","5600"
"2723","MAPK13","5603"
"2724","PRTN3","5657"
"2726","GPR119","139760"
"2727","APH1A","51107"
"2728","PSENEN","55851"
"2729","CSF2","1437"
"2730","RHD","6007"
"2731","PIK3R1","5295"
"2732","PIK3R2","5296"
"2733","PIK3R3","8503"
"2734","NFKB2","4791"
"2735","NAMPT","10135"
"2736","CRYM","1428"
"2738","NOXO1","124056"
"2740","PTK6","5753"
"2741","IL13","3596"
"2742","FDFT1","2222"
"2743","EPCAM","4072"
"2744","MPL","4352"
"2745","GLIPR1","11010"
"2746","ATP4B","496"
"2747","CCL3","6348"
"2748","SLC5A5","6528"
"2749","TIMP3","7078"
"2750","MAEA","10296"
"2751","CD163","9332"
"2752","CD9","928"
"2753","EDN1","1906"
"2754","CCL11","6356"
"2755","CXCL8","3576"
"2756","APOH","350"
"2757","IL23A","51561"
"2758","FFAR4","338557"
"2760","TGFB2","7042"
"2761","CPB2","1361"
"2762","PLA2G10","8399"
"2763","IL10","3586"
"2764","FUBP1","8880"
"2765","PRKAR2A","5576"
"2766","PTH2R","5746"
"2767","TNFRSF10B","8795"
"2768","MSTN","2660"
"2769","PDCD1","5133"
"2770","CXCL12","6387"
"2771","ANTXR2","118429"
"2772","ANTXR1","84168"
"2773","TNFRSF11A","8792"
"2774","STAT3","6774"
"2775","SERPING1","710"
"2776","KISS1R","84634"
"2777","GPNMB","10457"
"2779","MAP3K1","4214"
"2780","PRKCE","5581"
"2781","HSPB1","3315"
"2782","CENPE","1062"
"2783","CAPN3","825"
"2784","AURKC","6795"
"2785","GPR55","9290"
"2786","ATP2A2","488"
"2787","FCER2","2208"
"2788","CTLA4","1493"
"2789","CSNK1E","1454"
"2790","KCNA5","3741"
"2792","LAMA5","3911"
"2793","LAMB1","3912"
"2794","LAMC1","3915"
"2795","LAMA1","284217"
"2796","LAMA3","3909"
"2797","LTB4R2","56413"
"2798","LTB4R","1241"
"2799","CASP4","837"
"2800","HSF1","3297"
"2801","IL6R","3570"
"2802","CETP","1071"
"2803","SLC5A2","6524"
"2804","SLAMF7","57823"
"2805","ENG","2022"
"2806","TNFRSF8","943"
"2807","PDGFB","5155"
"2808","CD19","930"
"2809","COL4A4","1286"
"2810","CD40","958"
"2811","IL1A","3552"
"2812","IL1RN","3557"
"2813","ENPP1","5167"
"2814","PTK2","5747"
"2815","LPL","4023"
"2816","CD40LG","959"
"2817","CD14","929"
"2818","CD44","960"
"2819","IL4","3565"
"2820","MUC1","4582"
"2821","SH2B3","10019"
"2822","MAP2K2","5605"
"2823","MAP3K2","10746"
"2824","CAMK2G","818"
"2825","KCNA2","3737"
"2826","KCNA6","3742"
"2827","KCNA7","3743"
"2828","KCNA10","3744"
"2829","KCNB1","3745"
"2830","KCNB2","9312"
"2831","KCNC1","3746"
"2832","KCNC2","3747"
"2833","KCNC3","3748"
"2834","KCND1","3750"
"2835","TACR2","6865"
"2836","SSTR1","6751"
"2837","SSTR3","6753"
"2838","NR2F1","7025"
"2839","TAB1","10454"
"2841","ACTN1","87"
"2842","PHB2","11331"
"2843","PIK3C3","5289"
"2844","TPSAB1","7177"
"2846","NRIP1","8204"
"2848","PLK1","5347"
"2849","PRSS8","5652"
"2850","CELA2A","63036"
"2852","ADAM17","6868"
"2855","PTPRB","5787"
"2857","MAPK9","5601"
"2858","BAG1","573"
"2859","NR1H3","10062"
"2860","BCL2L1","598"
"2861","CAMK2B","816"
"2862","ECE1","1889"
"2863","NEK2","4751"
"2864","PGGT1B","5229"
"2865","PARP2","10038"
"2871","INCENP","3619"
"2874","ERN1","2081"
"2878","POLK","51426"
"2879","UPP1","7378"
"2884","CHRFAM7A","89832"
"2887","SCPEP1","59342"
"2888","CSNK2A2","1459"
"2890","PSMA7","5688"
"2892","DYRK1A","1859"
"2897","SLK","9748"
"2898","CAMK4","814"
"2899","CLK3","1198"
"2900","CYP2C18","1562"
"2901","PARP3","10039"
"2902","NCOA5","57727"
"2906","MAPKAPK3","7867"
"2907","CDK16","5127"
"2908","KRAS","3845"
"2911","AKT2","208"
"2913","AADACL2","344752"
"2916","PAFAH1B3","5050"
"2917","CAMK2D","817"
"2918","PFN1","5216"
"2919","ENOPH1","58478"
"2921","EPHA7","2045"
"2922","CAMK1G","57172"
"2923","KLK7","5650"
"2927","SPIRE2","84501"
"2931","ROCK2","9475"
"2946","RCVRN","5957"
"2949","PPP3R1","5534"
"2950","PPP3CA","5530"
"2952","GUCA1A","2978"
"2954","ARPC1B","10095"
"2955","ACTR2","10097"
"2956","ACTR3","10096"
"2957","ARPC2","10109"
"2958","ARPC3","10094"
"2959","ARPC4","10093"
"2960","ARPC5","10092"
"2965","CSNK1G1","53944"
"2966","MERTK","10461"
"2967","ACSBG1","23205"
"2968","TRAPPC6A","79090"
"2969","TRAPPC6B","122553"
"2970","TRAPPC5","126003"
"2971","TRAPPC4","51399"
"2972","TRAPPC1","58485"
"2974","PARP15","165631"
"2977","SCGB1A1","7356"
"2978","MYL6B","140465"
"2979","MYL12A","10627"
"2980","MYH7","4625"
"2982","CAMK1D","57118"
"2984","IRS1","3667"
"2985","PSMA1","5682"
"2986","PSMA2","5683"
"2987","PSMA3","5684"
"2988","PSMA4","5685"
"2989","PSMA5","5686"
"2990","PSMA6","5687"
"2991","PSMB2","5690"
"2992","PSMB3","5691"
"2993","PSMB4","5692"
"2994","PSMB6","5694"
"2995","PSMB7","5695"
"2999","IRAK4","51135"
"3000","CES1P1","51716"
"3008","CREBBP","1387"
"3009","ACOT13","55856"
"3013","MAP3K9","4293"
"3015","NMRAL1","57407"
"3017","FOS","2353"
"3018","HMMR","3161"
"3019","VCAN","1462"
"3020","HAPLN1","1404"
"3021","HAPLN3","145864"
"3022","HABP2","3026"
"3023","LAYN","143903"
"3024","STAB2","55576"
"3025","IMPG2","50939"
"3026","HABP4","22927"
"3027","LYVE1","10894"
"3028","ASIC3","9311"
"3029","SLC6A13","6540"
"3030","SLC6A11","6538"
"3031","SLC6A12","6539"
"3032","S1PR5","53637"
"3033","S1PR1","1901"
"3034","S1PR4","8698"
"3035","S1PR3","1903"
"3036","PGF","5228"
"3037","VEGFB","7423"
"3038","SERPINF2","5345"
"3039","PSMB8","5696"
"3040","PSMB9","5698"
"3041","PSMB10","5699"
"3042","GUCY2C","2984"
"3043","DDR2","4921"
"3046","KEAP1","9817"
"3047","SIK1","150094"
"3048","NEK11","79858"
"3049","LIMK1","3984"
"3050","ERBB4","2066"
"3051","TMPRSS2","7113"
"3052","AQP3","360"
"3054","IL17A","3605"
"3055","HCRTR1","3061"
"3056","HCRTR2","3062"
"3060","GPR12","2835"
"3061","TRPV2","51393"
"3062","TRPV4","59341"
"3063","CYP3A5","1577"
"3064","CYP2D6","1565"
"3065","CYP3A7","1551"
"3066","NAAA","27163"
"3067","CRHR1","1394"
"3068","SSTR4","6754"
"3069","P2RX4","5025"
"3072","HSPA13","6782"
"3074","RPS2","6187"
"3075","SRSF1","6426"
"3076","HNRNPA2B1","3181"
"3077","HNRNPH1","3187"
"3078","HNRNPH3","3189"
"3080","HNRNPL","3191"
"3081","SF3A2","8175"
"3082","RACK1","10399"
"3083","STIP1","10963"
"3085","EIF6","3692"
"3086","EIF4A1","1973"
"3087","YWHAB","7529"
"3088","HDGF","3068"
"3089","CLIC1","1192"
"3090","PSME1","5720"
"3091","PEBP1","5037"
"3092","PGAM1","5223"
"3093","RANBP1","5902"
"3094","HTT","3064"
"3095","HEPHL1","341208"
"3096","IAPP","3375"
"3097","TAC3","6866"
"3098","AFM","173"
"3099","APOC2","344"
"3100","APOC3","345"
"3101","C9","735"
"3102","CBX5","23468"
"3103","IGHG4","3503"
"3104","IGLL1","3543"
"3105","LRG1","116844"
"3106","LUM","4060"
"3107","SERPINA7","6906"
"3108","SERPINF1","5176"
"3109","CSTB","1476"
"3110","NOX1","27035"
"3111","MRC1","4360"
"3115","GDNF","2668"
"3116","PCSK9","255738"
"3117","DIO3","1735"
"3118","NAGA","4668"
"3119","SCTR","6344"
"3120","MARCO","8685"
"3121","DGAT2","84649"
"3122","ELOVL4","6785"
"3123","TGFBR2","7048"
"3124","HTATIP2","10553"
"3125","CIB1","10519"
"3126","SRI","6717"
"3127","CHP1","11261"
"3128","SPARC","6678"
"3129","FBN2","2201"
"3130","CASQ2","845"
"3131","RGN","9104"
"3132","PEF1","553115"
"3133","S100A6","6277"
"3134","TPT1","7178"
"3135","CIB2","10518"
"3136","CASQ1","844"
"3137","NUCB1","4924"
"3138","NUCB2","4925"
"3139","FBN3","84467"
"3140","GCA","25801"
"3141","CADPS","8618"
"3142","CALM2","805"
"3143","CALM3","808"
"3144","S100A16","140576"
"3145","CALB2","794"
"3146","CAPS","828"
"3147","CADPS2","93664"
"3148","CALR3","125972"
"3149","NRXN1","9378"
"3150","NCS1","23413"
"3151","GC","2638"
"3152","F2RL3","9002"
"3153","FGG","2266"
"3155","CD274","29126"
"3156","TNFRSF1B","7133"
"3157","CSRP1","1465"
"3158","DPYSL2","1808"
"3159","FLNA","2316"
"3160","FTO","79068"
"3161","HNRNPD","3184"
"3162","HNRNPK","3190"
"3163","HP1BP3","50809"
"3164","IQGAP1","8826"
"3165","NPEPPS","9520"
"3166","RPL10","6134"
"3167","RPL14","9045"
"3168","RPL18","6141"
"3169","RPL35","11224"
"3170","RPL4","6124"
"3171","RPS13","6207"
"3172","RPS17","6218"
"3173","RPS18","6222"
"3174","RPS19","6223"
"3175","RPS28","6234"
"3176","RPS5","6193"
"3177","RPS6","6194"
"3178","RPS8","6202"
"3179","RPS9","6203"
"3180","SF1","7536"
"3181","SNRPD2","6633"
"3182","SRP14","6727"
"3183","SRSF4","6429"
"3184","TAGLN","6876"
"3185","TAGLN2","8407"
"3186","TPM1","7168"
"3187","VIM","7431"
"3188","ZYX","7791"
"3189","MYH9","4627"
"3190","DDX5","1655"
"3191","DDX39B","7919"
"3192","NPM1","4869"
"3195","OAT","4942"
"3202","ATP6","4508"
"3214","BMPR2","659"
"3215","BMPR1A","657"
"3216","ERBB3","2065"
"3217","MC4R","4160"
"3218","MC3R","4159"
"3219","MC5R","4161"
"3220","ABCC5","10057"
"3221","CASP8","841"
"3222","PRKD1","5587"
"3224","SLC9A3","6550"
"3225","IGHE","3497"
"3226","SOST","50964"
"3227","ACLY","47"
"3228","XPO1","7514"
"3229","RBP3","5949"
"3230","NTRK3","4916"
"3231","ROS1","6098"
"3232","CYP2E1","1571"
